Age,AnnualIncome(lakhs),CreditScore(300-900),LoanAmount(lakhs),LoanTerm(years),EmploymentType,loan(Y/N)
28,6.5,720,5,5,Salaried,0
45,12,680,10,10,Self-Employed,1
35,8,750,6,7,Salaried,0
50,15,640,12,15,Self-Employed,1
30,7,710,5,5,Salaried,0
42,10,660,9,10,Salaried,1
26,5.5,730,4,4,Salaried,0
48,14,650,11,12,Self-Employed,1
38,9,700,7,8,Salaried,0
55,16,620,13,15,Self-Employed,1
33,7.5,740,6,6,Salaried,0
47,13,670,11,12,Self-Employed,1
29,6.8,715,5,5,Salaried,0
52,14.5,635,12,14,Self-Employed,1
31,7.2,725,6,6,Salaried,0
44,11,665,9,10,Salaried,1
27,5.8,735,4,4,Salaried,0
49,13.8,645,11,12,Self-Employed,1
39,9.5,705,7,8,Salaried,0
54,15.5,625,13,15,Self-Employed,1
32,7.6,745,6,6,Salaried,0
46,12.5,675,10,11,Self-Employed,1
28,6.4,718,5,5,Salaried,0
51,14.2,638,12,14,Self-Employed,1
34,8.1,748,6,7,Salaried,0
43,10.8,662,9,10,Salaried,1
25,5.3,732,4,4,Salaried,0
50,13.5,648,11,12,Self-Employed,1
37,9,702,7,8,Salaried,0
56,16.2,618,13,15,Self-Employed,1
29,6.9,722,5,5,Salaried,0
47,12.8,668,10,11,Self-Employed,1
36,8.3,752,6,7,Salaried,0
53,15,630,12,14,Self-Employed,1
30,7.1,712,5,5,Salaried,0
41,10.2,658,9,10,Salaried,1
27,5.6,728,4,4,Salaried,0
48,14,642,11,12,Self-Employed,1
38,9.3,707,7,8,Salaried,0
55,16,622,13,15,Self-Employed,1
33,7.4,742,6,6,Salaried,0
46,12.3,672,10,11,Self-Employed,1
29,6.7,716,5,5,Salaried,0
52,14.7,636,12,14,Self-Employed,1
35,8.2,749,6,7,Salaried,0
44,11.2,664,9,10,Salaried,1
26,5.4,731,4,4,Salaried,0
49,13.6,646,11,12,Self-Employed,1
39,9.6,704,7,8,Salaried,0
54,15.3,626,13,15,Self-Employed,1
