Experience,TrainingHours,WorkingHours,Projects,ProductivityScore
7,99,58,10,87.44
20,76,36,10,100.0
15,28,34,1,71.96
11,29,51,6,66.39
8,80,58,7,65.5
7,61,52,8,78.77
19,42,32,10,100.0
11,49,41,9,100.0
11,48,55,2,51.08
4,91,45,11,97.8
8,10,48,10,66.06
3,20,34,2,51.11
2,66,51,5,51.24
12,98,54,5,95.57
6,59,58,6,60.52
2,32,43,3,50.57
1,40,57,8,49.28
12,51,34,1,78.86
12,16,44,6,76.68
17,25,46,4,78.56
10,99,59,1,60.1
16,69,43,7,96.79
15,11,59,9,76.85
15,10,49,4,66.86
19,57,34,4,94.67
12,21,41,6,80.06
20,78,45,3,96.31
3,46,55,6,45.5
5,41,55,7,57.59
19,18,45,11,100.0
7,28,50,10,72.51
9,57,36,10,100.0
7,89,33,3,80.9
18,12,30,7,96.3
4,29,59,3,40.0
14,33,59,2,55.82
18,63,34,10,100.0
9,42,52,4,63.08
2,33,55,8,50.72
20,84,39,9,100.0
15,81,51,7,98.96
7,45,34,1,70.79
12,47,33,3,81.44
8,93,31,9,100.0
15,98,49,1,91.03
3,34,39,9,71.86
14,27,55,8,77.31
17,91,48,1,94.91
4,75,55,6,58.14
18,63,30,5,100.0
8,44,53,6,60.94
4,89,34,10,98.38
2,70,42,5,69.35
6,50,33,6,78.72
10,42,45,5,72.98
4,77,53,11,75.32
18,42,45,5,89.09
12,23,52,4,57.33
2,30,31,3,43.32
10,57,46,3,68.34
4,29,57,4,40.0
14,17,56,9,89.16
16,16,49,2,75.41
15,76,53,9,100.0
8,26,41,1,64.42
14,42,47,1,75.95
8,57,32,5,72.46
16,85,57,6,99.24
13,68,30,6,100.0
18,95,30,3,100.0
15,31,58,7,70.32
13,39,48,9,91.78
9,47,40,11,83.2
15,60,34,10,100.0
13,63,41,8,95.51
1,17,32,6,49.71
7,36,30,8,90.24
9,36,30,5,80.09
1,30,37,8,62.77
12,39,39,10,100.0
8,37,40,4,67.06
11,73,41,10,100.0
19,78,58,8,100.0
17,70,42,10,100.0
8,57,41,2,67.73
3,28,43,5,61.42
3,13,31,9,75.81
1,44,58,4,40.0
5,73,48,11,80.45
10,58,47,6,81.99
7,26,32,1,59.78
9,53,52,9,88.34
7,39,46,1,56.34
9,55,55,5,69.82
8,15,37,4,62.96
12,46,58,3,58.02
2,33,55,6,43.91
1,55,39,2,52.18
16,62,55,3,70.95
5,69,59,5,63.21
3,72,31,9,97.64
12,94,48,2,72.08
8,41,38,10,80.9
3,96,36,8,88.65
1,42,33,2,47.79
3,76,55,11,76.6
5,27,50,5,51.24
15,34,47,7,81.98
14,63,42,8,100.0
3,67,40,1,56.92
1,76,58,6,50.1
5,55,53,1,53.13
14,33,33,2,77.96
7,41,54,1,40.0
9,56,50,11,89.22
15,95,58,5,92.37
15,32,54,10,92.56
10,75,33,9,100.0
13,36,39,6,88.68
19,11,34,11,100.0
7,99,38,11,100.0
17,26,53,1,63.5
20,42,32,1,99.71
4,18,46,2,41.82
5,52,32,9,89.6
7,57,45,3,55.06
13,48,33,1,77.0
15,51,47,5,95.74
11,35,46,7,80.96
4,59,36,6,74.38
13,34,53,1,62.84
7,33,52,5,67.84
19,22,59,5,87.89
2,69,34,6,64.6
10,16,41,3,55.95
13,66,46,5,78.43
6,45,52,7,60.16
12,54,42,5,83.87
12,29,52,5,69.31
20,74,54,5,92.35
11,17,32,10,83.66
7,25,38,10,76.78
1,23,59,3,40.0
1,85,46,1,55.65
20,96,46,5,100.0
13,24,59,9,75.34
9,75,49,1,68.94
3,41,45,3,53.85
7,96,54,4,68.62
6,72,51,1,56.74
8,95,42,1,77.19
9,60,56,8,71.15
5,34,48,2,54.51
1,67,46,8,65.61
19,72,33,7,100.0
10,71,41,10,94.76
12,31,58,10,75.0
15,67,38,2,78.22
9,67,48,6,78.48
20,95,41,6,100.0
17,58,38,3,89.41
17,61,36,11,100.0
20,51,57,2,88.77
12,79,43,1,75.93
7,24,49,6,59.64
2,63,48,5,55.82
3,69,55,11,81.73
17,17,44,9,97.99
5,62,45,1,60.01
17,69,50,7,100.0
17,14,34,5,89.94
17,77,32,5,100.0
2,15,41,2,40.0
2,56,54,11,60.34
5,64,49,3,61.57
1,49,56,7,41.89
1,61,50,6,53.46
19,25,33,2,88.4
2,22,50,6,48.82
12,39,52,2,69.92
6,28,45,2,55.42
4,26,54,2,40.0
11,72,36,11,100.0
17,28,42,3,81.38
6,67,50,2,55.45
5,64,39,4,66.15
20,99,55,9,100.0
2,99,36,6,77.75
6,71,43,1,58.53
11,32,55,8,77.86
16,18,34,7,89.93
16,21,32,10,100.0
1,10,52,3,40.0
9,67,58,1,62.28
6,10,40,5,53.02
16,43,40,4,92.2
3,57,47,10,75.38
20,98,44,8,100.0
4,10,41,1,40.0
19,25,38,10,100.0
